"Arti inferiori (gamba inferiore)"|"posizione"|"nome"|"prossimale"|"distale"|"nervo"|"funzione"|"strato"
"Muscoli del piede"||"estensore breve delle dita"|"calcagno (seno tarsale)"|"tre tendini sull'aponeurosi dorsale del 2°-4° dito"|"peroneo profondo"|"flessione dorsale delle dita 2, 3 e 4"|
"Muscoli del piede"||"estensore breve dell'alluce"|"calcagno (seno tarsale)"|"aponeurosi dorsale del primo dito"|"peroneo profondo"|"flessore dorsale del 1° dito"|
"Muscoli del piede"||"Flessione plantare del piede "|"tricipite della sura, peroniero lungo, peroniero brevem flessore lungo delle dita, tibiale posteriore"||||
"Muscoli del piede"||"Pronazione del piede (in fuori)"|"peroniero lungo, peroniero breve, estensore lungo delle dita, peroniero terzo"||||
"Muscoli del piede"||"Supinazione del piede (in dentro)"|"tricipite della sura, tibiale posteriore, flessore lungo dell'alluce, flessore lungo delle dita, tibiale anteriore"||||
"MUSCOLI ABDUTTORI DELLA GAMBA"|"anteriori"|"peroneo anteriore"|"superficie anteriore della sezione distale del perone e sull'adiacente membrana interossea"|"5° metatarso (faccia dorsale)"|"tibiale anteriore"|"dorsiflessione e all'eversione del piede"|
"MUSCOLI ABDUTTORI DELLA GAMBA"|"anteriori"|"peroneo lungo (flessore plantare)"|"margine laterale della testa del perone e sul margine laterale del primo tratto del corpo del perone"|"passa dietro al malleolo laterale, penetra nel piede e si aggancia, in parte, alla base del 5° metatarso e, in parte, all'osso cuneiforme mediale del tarso"|"peroneo superficiale"|"1. plantarflessione e all'inversione, 2. accentua la concavità dell'arco (o volta) plantare"|
"MUSCOLI ABDUTTORI DELLA GAMBA"|"anteriori"|"peroneo breve (flessore plantare)"|"2/3 inferiori della superficie laterale del perone"|"passa dietro al malleolo laterale, penetra nel piede e si aggancia alla base del 5° osso metatarsale"|"peroneo superficiale"|"plantarflessione e di eversione del piede"|
"Muscoli dorsali dell'anca"||"Grande psoas (fa parte dei muscoli anteriori)"|"Superfici laterali dei corpi T12 e della L1-4 e dai dischi intervertebrali interposti. Parte profonda origina dai processi costiformi L1 e L5"|"Superficie mediale del piccolo trocantere del femore passando sotto il legamento inguinale"|"Rami specifici del plesso lombare e nervo femorale (L1-L3)"|"Flette la coscia sul bacino, la adduce e la ruota esternamente, inclina lateralmente il tronco, flessione anteriore del tronco (anche da supini)"|
"Muscoli dorsali dell'anca"||"Iliaco"|"2/3 superiori della fossa iliaca"|"Parte inferiore del piccolo trocantere"|"Nervo femorale"|"Flette la coscia e la ruota esternamente, partecipa alla flessione del tronco"|
"Muscoli dorsali dell'anca"||"Tensore della fascia lata"|"Estremità anteriore della cresta iliaca, spina iliaca anteriore  superiore, faccia superficiale del muscolo medio gluteo, fascia glutea profonda"|"Al condilo laterale della tibia con un tendine che  nel tragitto si fonde con la fascia femorale formando il tratto ileotibiale"|"gluteo superiore del plesso sacrale (L4, L5, S1)"|"Tende la fascia lata; flette, abduce e ruota internamente la coscia; estende (debolmente) la gamba sulla coscia"|
"Muscoli dorsali dell'anca"||"Piccolo gluteo"|"Davanti alla linea glutea anteriore e dall'estremità anteriore del labbro esterno della cresta iliaca"|"Superficie ant. del grande trocantere del femore"|"gluteo superiore del plesso sacrale (L4 - S1)"|"Abduce e ruota internamente la coscia (femore)"|
"Muscoli dorsali dell'anca"||"Medio gluteo"|"Tra le linee glutee anteriore e posteriore dell'anca, labbro esterno della cresta iliaca, spina iliaca anteriore superiore"|"Faccia esterna del grande trocantere"|"Nervo gluteo superiore (L4,L5,S1)"|"Abduce la coscia. Le fibre anteriori flettono e ruotano internamente la coscia; le fibre posteriori estendono ed extraruotano la coscia."|
"Muscoli dorsali dell'anca"||"Grande gluteo"|"Parte superficiale: dal labbro esterno della cresta iliaca, dalla spina iliaca posteriore superiore, dalla fascia toracolombare (o lombodorsale), dalla faccia posteriore dell'osso sacro e dal coccige.   Parte profonda: dall'ala dell'ileo, dietro la linea glutea posteriore, dal legamento sacrotuberoso (o sacroiliaco) e dalla fascia del muscolo medio gluteo . "|"Tuberosità glutea (parte prossimale) e tratto ileo-tibiale fascia lata (parte distale)."|"GLUTEO INFERIORE del plesso sacrale (L5, S2)"|"Estende, adduce e ruota esternamente la coscia. Con i suoi fasci superiori abduce"|
"Muscoli dorsali dell'anca"||"Piriforme"|"Faccia anteriore dell'osso sacro e margine della grande incisura ischiatica"|"Parte interna dell'apice del grande trocantere"|"Plesso sacrale (L5-S2)"|"Abduce e ruota esternamente la coscia (femore), partecipa alla retroversione del bacino"|
"Muscoli ventrali dell'anca"||"Otturatore interno"|"faccia intrapelvica della membrana otturatoria, dal contorno interno del foro otturatorio, dalla superficie ossea compre­sa tra foro otturatorio e spina ischiatica e dalla faccia profonda della fascia che ricopre il mu­scolo stesso"|"I fasci conver­gono verso il piccolo forame ischiatico dove ri­piegano lateralmente ad angolo retto per inse­rirsi nella fossa trocanterica del femore"|"otturatorio interno (L5-S1)"|"ruota lateralmente il femore e contribuisce alla stabilizzazione dell’articolazione dell’anca"|
"Muscoli ventrali dell'anca"||"Gemelli inferiore e superiore"|"vedi MUSCOLI FLESSORI DELLA GAMBA (posteriori)"||||
"Muscoli ventrali dell'anca"||"Quadrato del femore"|"superficie esterna della tuberosità ischiatica"|"cresta intertrocanterica del femore"|"ramo collaterale del plesso sacrale L4-S1"|"Agisce ruotando lateralmente il femore e contribuisce a stabiliz­zare l’articolazione dell’anca"|
"Muscoli ventrali dell'anca"||"Otturatore esterno"|"vedi muscoli adduttori della coscia"||||
"Muscoli adduttori della coscia"||"Gracile o retto interno"|"Faccia anteriore della branca ischiopubica"|"Parte superiore  della faccia mediale della tibia insieme al semimembranoso e sartorio"|"OTTURATORIO del plesso lombare (L2-L4)"|"Adduce e flette lievemente la coscia, flette e ruota internamente la gamba"|
"Muscoli adduttori della coscia"||"Pettineo"|"Tubercolo pubico, dalla faccia anteriore del ramo superiore del pube, dalla cresta pettinea e dal legamento pubofemorale"|"Linea pettinea del Femore (ramo mediale della linea aspra)"|"Nervo otturatorio (L2-L4) e femorale (L2, L3)"|"Flette, adduce e ruota esternamente (extraruota) la coscia"|
"Muscoli adduttori della coscia"||"Adduttore breve"|"Faccia anteriore del ramo superiore del pube e dalla faccia anteriore della branca ischiopubica"|"Labbro mediale della linea aspra del femore"|"Nervo otturatorio del plesso lombare (L2-L4)"|"Adduce e ruota esternamente la coscia. Partecipa alla flessione della coscia sul bacino"|
"Muscoli adduttori della coscia"||"Adduttore lungo"|"Faccia anteriore del ramo superiore del pube (tra tubercolo e sinfisi)"|"Terzo medio della linea aspra del femore"|"Nervo otturatorio del plesso lombare (L2-L4)"|"Adduce e ruota esternamente la coscia. Partecipa alla flessione della coscia sul bacino"|
"Muscoli adduttori della coscia"||"Grande adduttore"|"Faccia anteriore della branca ischiopubica e dal ramo dell'ischio fino alla tuberosità ischiatica"|"Labbro mediale della linea aspra fino all'altezza del tubercolo del grande addutore dell'epicondilo mediale"|"Nervo otturatore e nervo tibiale dell'ischiatico L2-S1"|"Adduce e ruota all'interno la coscia"|
"Muscoli adduttori della coscia"||"Minimo"|"Ramo inferiore del pube"|"labbro mediale della linea aspra"|"Otturatorio e tibiale"|"Rotazione verso l'esterno"|
"Muscoli adduttori della coscia"||"Otturatore esterno"|"contorno esterno del foro otturatorio e dalla benderella sottopubica"|"le sue fibre si por­tano lateralmente, in alto e in dietro, circonda­no l’articolazione coxo-femorale e vanno a fissarsi alla fossa trocanterica del femore"|"otturatorio (L2-L4)"|"ruota lateralmente il femore e stabilizza l’articolazione dell’anca"|
"Muscoli della coscia"|" anteriori "|"Retto femorale o retto anteriore"|"Capo diretto: spina iliaca anteriore inferiore Capo riflesso: solco sopraacetabolare (margine superiore dell'acetabolo)"|"Patella (alcune fibre formano il legamento patellare e si inseriscono alla tuberosità della tibia)"|"Nervo femorale (L2,L4)"|"Estende la gamba e partecipa alla flessione della coscia"|
"Muscoli della coscia"|" anteriori "|"Vasto intermedio"|"Labbro laterale della linea aspra del femore e dai tre quarti superiori delle facce anteriori e laterali del femore"|"Patella (alcune fibre formano il legamento patellare e si inseriscono alla tuberosità della tibia)"|"Nervo femorale (L2,L4)"|"Estende la gamba"|
"Muscoli della coscia"|" anteriori "|"Vasto mediale"|"Labbro mediale della linea aspra e linea rugosa"|"Patella (alcune fibre formano il legamento patellare e si inseriscono alla tuberosità della tibia)"|"Nervo femorale (L2,L4)"|"Estende la gamba, stabilizza la patella"|
"Muscoli della coscia"|" anteriori "|"Vasto laterale"|"Margine anteriore del grande trocantere e dal labbro laterale della linea aspra del femore"|"Patella (alcune fibre formano il legamento patellare e si inseriscono alla tuberosità della tibia)"|"Nervo femorale (L2,L4)"|"Estende la gamba"|
"Muscoli della coscia"|" anteriori "|"Sartorio"|"Spina iliaca anteriore superiore"|"Estremità superiore della faccia mediale della tibia"|"FEMORALE (L1-L3)"|"Flette la gamba e la coscia; abduce e ruota esternamente la coscia; ruota internamente la gamba (a ginocchio flesso)"|
"Muscoli della coscia"|"posteriori"|"Bicipite femorale"|"Capo lungo: parte superiore della tuberosità ischiatica Capo breve: labbro laterale della linea aspra del femore e dal setto intermuscolare laterale"|"Con un tendine comune sul processo stiloideo della testa della fibula, sul condilo laterale della tibia e sulle parti contigue della faccia della gamba"|"NERVO TIBIALE (capo lungo) e NERVO PERONIERO COMUNE (capo breve) (L4-S1)"|"Flette e ruota esternamente la gamba, estende la coscia"|
"Muscoli della coscia"|"posteriori"|"Semimembranoso"|"Tuberosità ischiatica"|"1 parte posteriore del condilo mediale tibiale (tendine riflesso e discendente), 2 legamento popliteo obliquo, 3 parte anteriore del condilo mediale della tibia (tendine ricorrente)/fascia muscolo popliteo --- queste tre inserzioni vengono chiamate Zampa d'oca profonda"|"Nervo Tibiale (L4-S1)"|"Estende e adduce la coscia; flette e ruota internamente (a ginocchio flesso) la gamba"|
"Muscoli della coscia"|"posteriori"|"Semitendinoso"|"Tuberosità ischiatica"|"Parte superiore della faccia mediale della tibia"|"NERVO TIBIALE (L4-S1)"|"Estende e adduce la coscia; flette e ruota internamente (a ginocchio flesso) la gamba"|
"Muscoli dita del piede"|"1° dito"|"Abduttore dell'alluce"|"1) processo mediale della tuberosità calcaneare e 2) retinacolo dei mm. Fressori e aponeurosi plantare"|"1) osso sesamoide mediale e 2) flange prossimale"|"plantare mediale"|"abduttore e modesto flessore, sostiene la volta del piede"|
"Muscoli dita del piede"|"1° dito"|"flessore breve dell'alluce"|"osso cuneiforme mediale, dal legamento plantare lungo e dal tendine del tibiale posteriore"|"1) capo mediale: fonde parzialmente con il m. abduttore dell'alluce e raggiunge l'osso sesamoide mediale; 2) capo laterale: fuso parzialmente con adduttore dell'alluce e raggiunge l'osso sesamoide laterale e la falange prossimale"|"plantare mediale"|"flessione plantare (importante nel ballo sulle punte)"|
"Muscoli dita del piede"|"1° dito"|"Adduttore dell'alluce (sotto i mm. Flessori lungo e breve delle dita)"|"capo obliquo: cuboide, osso cuneiforme laterale e basi delle ossa metatarsali II e III; capo trasverso: legg capsulari delle art. metatarso falangee delle dita 3°-5° e leg. Metatarsale trasverso profondo"|"osso sesamoide laterale dell'alluce"|"plantare mediale"|"tensore della volta del piede"|
"Muscoli dita del piede"|"5° dito"|"Abduttore del migniolo"|"processo laterale della tuberosità calcaneale, faccia inferiore del calcagno, tuberosità dell'osso metatarsale V e aponeurosi plantare"|"falange prossimale 5° dito"|"plantare laterale"|"sostiene la volta del piede, flette dito mignolo verso la pianta e determine leggera abduzione"|
"Muscoli dita del piede"|"5° dito"|"flessore del mignolo"|"osso metatarsale V, leg. Plantare lungo e guaina tendinea del m. peroniero lungo"|"base della della falange prossimale dito mignolo (quasi sempre fuso con m. abduttore mignolo)"|"plantare laterale"|"flessione plantare del mignolo"|
"Muscoli dita del piede"|"5° dito"|"opponente del migniolo"|"leg. Plantare lungo e guaina tendinea del peroniero lungo"|"osso metatarsale"|"plantare laterale"|"muove l'osso metatarsale V in direzione plantare, sostiene la volta del piede"|
"Muscoli dita del piede"|"medi"|"lombricali"|"lato mediale dei singoli tendini del flessore lungo delle dita"|"margine mediale delle falangi prossimali del 2°-5° dito e si irradiano sull'aponeurosi dorsale"|"plantare mediale per 1°,2°,3°; plantare laterale per 4°"|"flessione plantare e adducono le ultime 4 dita, rinforzano la volta plantare"|
"Muscoli dita del piede"|"medi"|"quadrato dellla pianta"|"margine mediale e laterale della faccia pantare del calcagno"|"margine laterale del tendine del flessore lungo delle dita"|"plantare laterale"||
"Muscoli dita del piede"|"medi"|"interossei plantari e dorsali"|"platari: lato mediale del 3°-5° osso metatarsale; dorsali: facce affondate delle orssa metatarsali e leg. Plantare lungo"|"plantari: lato mediale delle basi delle falangi prossimali del 3°-5° dito; dorsali: basi delle falangi prossimali 2°-4° dito"|"plantare laterale"|"plantari: adduttori (avvicinano 3°, 4° e 5° dito al 2° dito); dorsali: abduttori"|
"Muscoli dita del piede"|"medi"|"flessore breve delle dita"|"faccia inferiore della tuberosità calcaneare e parte prossimale dell'aponeurosi plantare"|"falangi medie del 2°-5° dito"|"plantare media"|"flette le falangi medie verso la pinata"|
